TradeDate,Open,High,Low,Close,Volume
2017-08-30,62.52,63.64,62.36,62.77,1360953
2017-08-30,156.70,157.12,154.45,156.25,909058
2017-08-30,101.80,104.08,101.24,101.52,1602888
2017-08-30,96.03,97.22,95.44,96.16,437223
2017-08-30,145.68,146.16,144.46,145.70,512569
2017-08-30,48.15,48.24,47.95,48.18,2461169
2017-08-30,51.35,51.62,50.97,51.46,4232678
2017-08-30,150.58,153.99,150.54,150.92,1195383
2017-08-30,138.25,139.97,138.12,138.38,693613
2017-08-30,10.22,10.23,10.21,10.22,7418251
2017-08-30,54.04,54.62,54.04,54.10,5596567
2017-08-30,92.13,92.61,92.07,92.00,1497324
2017-08-30,72.29,72.54,71.84,72.02,489165
2017-08-30,139.20,139.76,138.56,139.41,790030
2017-08-30,55.23,55.66,55.06,55.12,2015911
2017-08-30,29.70,29.91,29.65,29.69,4665805
2017-08-30,30.10,30.76,30.05,30.12,5629844
2017-08-30,78.71,79.86,78.67,78.80,519793
2017-08-30,52.31,53.00,52.16,52.29,3101260
2017-08-30,84.05,84.17,83.73,84.03,921471
2017-08-30,54.57,54.84,54.15,54.55,3494538
2017-08-30,78.63,78.94,78.40,78.53,766642
2017-08-30,25.43,25.57,25.29,25.61,2253639
2017-08-30,81.21,82.41,81.10,81.03,4522163
2017-08-30,48.23,49.05,48.16,48.16,896809
2017-08-30,180.97,183.32,180.43,180.52,1445303
2017-08-30,88.04,88.46,87.46,88.28,1429383
2017-08-30,101.35,101.50,101.24,101.38,2149147
2017-08-30,71.41,72.28,71.22,71.49,3216456
2017-08-30,76.79,77.21,76.79,76.81,236326
2017-08-30,67.72,68.31,67.47,67.77,597568
2017-08-30,58.70,59.20,58.46,58.76,1339291
2017-08-30,274.81,277.04,272.96,274.75,282322
2017-08-30,123.21,123.53,121.62,123.01,1349165
2017-08-30,41.79,42.99,41.09,41.69,1909579
2017-08-30,27.29,27.72,27.28,27.35,3726457
2017-08-30,26.90,27.23,26.85,26.91,2059699
2017-08-30,61.97,62.56,61.97,61.96,1987886
2017-08-30,38.64,38.81,38.41,38.72,1474653
2017-08-30,211.38,213.88,210.59,211.78,1511175
2017-08-30,51.53,51.79,51.48,51.50,3370436
2017-08-30,15.35,15.45,15.15,15.34,3784429
2017-08-30,16.42,16.53,16.20,16.43,3042842
2017-08-30,105.00,105.58,104.79,104.97,2593256
2017-08-30,62.73,62.76,61.94,62.89,4694651
2017-08-30,196.38,196.88,195.20,196.73,1506690
2017-08-30,114.88,115.64,114.87,114.89,1968539
2017-08-30,115.10,119.80,113.13,114.94,3207177
2017-08-30,118.95,119.86,118.31,118.70,5214285
2017-08-30,106.83,107.23,105.89,106.83,790300
2017-08-30,47.97,48.30,47.97,47.93,755951
2017-08-30,62.91,63.03,62.38,63.06,1384901
2017-08-30,68.52,68.87,68.08,67.92,3248108
2017-08-30,103.08,103.92,102.74,102.89,549909
2017-08-30,67.51,68.16,67.48,67.79,1005162
2017-08-30,101.54,102.62,101.27,101.62,469680
2017-08-30,79.62,80.35,79.20,79.52,957638
2017-08-30,48.33,48.37,48.00,48.51,10758395
2017-08-30,152.52,158.09,152.52,152.89,1246885
2017-08-30,29.25,29.48,28.98,29.28,3571927
2017-08-30,103.70,104.00,103.52,103.77,8712708
2017-08-30,73.53,74.50,73.17,74.16,1008888
2017-08-30,116.60,122.11,116.60,116.50,2265021
2017-08-30,78.82,79.10,78.52,78.77,5829829
2017-08-30,81.56,82.24,81.27,81.42,3509321
2017-08-30,102.48,103.45,102.48,102.57,6573211
2017-08-30,76.72,76.96,76.37,76.75,1847790
2017-08-30,180.12,181.42,179.55,180.33,398234
2017-08-30,65.16,65.29,65.01,65.26,1204412
2017-08-30,51.46,51.74,51.20,51.42,11427543
2017-08-30,71.81,72.71,71.80,71.93,2275484
2017-08-30,88.75,90.71,87.44,90.07,3651310
2017-08-30,19.02,19.06,18.76,19.07,4001353
2017-08-30,55.09,56.25,54.94,55.26,998408
2017-08-30,31.49,31.78,31.35,31.52,2417418
2017-08-30,168.05,169.74,167.30,168.02,553117
2017-08-30,29.10,29.24,28.95,29.17,2932842
2017-08-30,147.90,148.66,147.52,147.87,382418
2017-08-30,96.75,98.36,96.75,96.65,831309
2017-08-30,135.31,136.34,134.52,135.25,1012724
2017-08-30,49.51,49.61,49.39,49.50,1988064
2017-08-30,32.23,32.40,32.05,32.24,1079688
2017-08-30,65.95,66.31,65.72,65.76,1691581
2017-08-30,41.78,41.93,41.24,41.79,1716047
2017-08-30,61.05,61.59,61.00,61.11,676033
2017-08-30,76.05,76.50,75.83,76.09,1657721
2017-08-30,112.81,113.07,111.99,112.82,1080046
2017-08-30,43.74,44.12,43.58,43.71,1536056
2017-08-30,61.52,62.19,61.50,61.50,2101838
